SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,50,108,1,0.079851,0.354127,0.081579,,0.632004387
10,50,108,2,0.047089,0.430306,0.058517,,0.802725207
10,50,108,3,0.036819,0.498145,0.051061,,0.862349616
10,50,108,4,0.033815,0.54806,0.049548,,0.883772288
10,50,108,5,0.033334,0.589545,0.049083,,0.892967976
10,50,108,6,0.033393,0.623642,0.048111,,0.898352447
10,50,108,7,0.033832,0.655459,0.049297,,0.901835364
10,50,126,0.01,0.191167,0.28382,0.162729,,0.195064286
10,50,126,0.1,0.173965,0.288336,0.149571,,0.247395095
10,50,126,0.5,0.118791,0.315896,0.109243,,0.453441212
10,50,126,1,0.079345,0.352168,0.080533,,0.632247464
10,50,126,2,0.046423,0.427522,0.057822,,0.804099632
10,50,126,3,0.036084,0.494894,0.050354,,0.864084764
10,50,126,4,0.033074,0.544601,0.049006,,0.885492708
10,50,126,5,0.032558,0.58584,0.048275,,0.894702117
10,50,126,6,0.032597,0.619455,0.047647,,0.900017177
10,50,126,7,0.032998,0.650942,0.048679,,0.903506156
10,50,144,0.01,0.191161,0.283794,0.162637,,0.195035319
10,50,144,0.1,0.17391,0.288133,0.14925,,0.247212922
10,50,144,0.5,0.11853,0.31502,0.10895,,0.453211856
10,50,144,1,0.078972,0.35053,0.079716,,0.632262481
10,50,144,2,0.045923,0.425472,0.057134,,0.805161277
10,50,144,3,0.035546,0.492472,0.049569,,0.865360651
10,50,144,4,0.032522,0.542107,0.04829,,0.886806966
10,50,144,5,0.03199,0.583054,0.047884,,0.895974922
10,50,144,6,0.032009,0.616281,0.047059,,0.901250983
10,50,144,7,0.032371,0.647565,0.047965,,0.904782215
10,50,162,0.01,0.191157,0.283779,0.16236,,0.195019961
10,50,162,0.1,0.173875,0.288012,0.148886,,0.247110224
10,50,162,0.5,0.118393,0.31453,0.108915,,0.453052852
10,50,162,1,0.078746,0.349561,0.079748,,0.632291791
10,50,162,2,0.045608,0.424116,0.056992,,0.805809369
10,50,162,3,0.03522,0.490989,0.049311,,0.866136839
10,50,162,4,0.032188,0.540835,0.048066,,0.887655469
10,50,162,5,0.031633,0.581648,0.047774,,0.896840111
10,50,162,6,0.031643,0.614283,0.047141,,0.902022832
10,50,162,7,0.031987,0.645738,0.047527,,0.905604781
10,50,180,0.01,0.191156,0.283775,0.162885,,0.195015697
10,50,180,0.1,0.173864,0.287976,0.148587,,0.24708124
10,50,180,0.5,0.11835,0.314258,0.108978,,0.452853392
10,50,180,1,0.078652,0.3492,0.07941,,0.632340155
10,50,180,2,0.04549,0.423661,0.056697,,0.80607523
10,50,180,3,0.035107,0.490465,0.049396,,0.866404603
10,50,180,4,0.032082,0.540371,0.047552,,0.887913942
10,50,180,5,0.03152,0.581137,0.047677,,0.897103926
10,50,180,6,0.031518,0.613616,0.047286,,0.902290067
10,50,180,7,0.031865,0.645198,0.047337,,0.905872866
10,60,0,0.01,0.190918,0.284212,0.160929,,0.196354682
10,60,0,0.1,0.171773,0.291564,0.147505,,0.258539681
10,60,0,0.5,0.112653,0.33267,0.108647,,0.494061614
10,60,0,1,0.074307,0.378713,0.08124,,0.671948258
10,60,0,2,0.046144,0.462923,0.063204,,0.818711486
10,60,0,3,0.038874,0.533222,0.057435,,0.864099732
10,60,0,4,0.037318,0.580672,0.057044,,0.879227819
10,60,0,5,0.037516,0.621977,0.057714,,0.886227754
10,60,0,6,0.037991,0.654379,0.056604,,0.890258099
10,60,0,7,0.038794,0.686905,0.058477,,0.89308515
10,60,18,0.01,0.190916,0.284202,0.16102,,0.196342803
10,60,18,0.1,0.171758,0.291502,0.147142,,0.258481198
10,60,18,0.5,0.112584,0.332461,0.107982,,0.494055657
10,60,18,1,0.074162,0.378265,0.081449,,0.672159265
10,60,18,2,0.045982,0.462243,0.062784,,0.81904865
10,60,18,3,0.038694,0.532239,0.057155,,0.864453447
10,60,18,4,0.037116,0.579506,0.056631,,0.879615064
10,60,18,5,0.037317,0.621217,0.057628,,0.886666444
10,60,18,6,0.037785,0.653403,0.055819,,0.890666505
10,60,18,7,0.038551,0.685906,0.057831,,0.893572703
10,60,36,0.01,0.190911,0.284177,0.160798,,0.196313104
10,60,36,0.1,0.171705,0.29129,0.147204,,0.258285727
10,60,36,0.5,0.112324,0.331577,0.107952,,0.493923195
10,60,36,1,0.073797,0.376819,0.081278,,0.672461697
10,60,36,2,0.045503,0.460202,0.062573,,0.820041328
